,Insult,Date,Comment,Comment_stemmed,Comment constructed,comment length,sentences length,max length
24,0,," To all those doom and gloomers ,  the chicken littles who claim the sky is falling and that society is collapsing..Canada has had gay marriage nationwide for years .  Where is the disaster ?  Where is the collapse and the persecution you are shouting about ?  Where is it ?  Please ,  show us some examples because it is starting to look like your threats and fears and warnings are nothing but HOT AIR .  ","to all those doom and gloomer , the chicken littl who claim the sky is fall and that societi is collapsing..canada has had gay marriag nationwid for year . where is the disast ? where is the collaps and the persecut you are shout about ? where is it ? pleas , show us some exampl becaus it is start to look like your threat and fear and warn are noth but hot air .","['To all those doom and gloomers the chicken littles who claim the sky is falling and that society is collapsing', 'Canada has had gay marriage nationwide for years', 'Where is the disaster', 'Where is the collapse and the persecution you are shouting about', 'Where is it', 'Please show us some examples because it is starting to look like your threats and fears and warnings are nothing but HOT AIR']",6,"[20, 8, 4, 11, 3, 23]",23
25,0,20120612144331Z," Craig ,  we have been saying from the start that this is a very entertaining show .  It awakens the horny little Goth in me .  I met my boyfriend during the first season and one of the first thing we did was watch AHS at my house .  I know he likes me and all but to this day he is sure I am far creepier and kinkier than he could ever be .  Thanks ,  American Horror Story .  Sweet Clam loves you .  ","craig , we have been say from the start that this is a veri entertain show . it awaken the horni littl goth in me . i met my boyfriend dure the first season and one of the first thing we did was watch ah at my hous . i know he like me and all but to this day he is sure i am far creepier and kinkier than he could ever be . thank , american horror stori . sweet clam love you .","['Craig we have been saying from the start that this is a very entertaining show', 'It awakens the horny little Goth in me', 'I met my boyfriend during the first season and one of the first thing we did was watch AHS at my house', 'I know he likes me and all but to this day he is sure I am far creepier and kinkier than he could ever be', 'Thanks American Horror Story', 'Sweet Clam loves you']",6,"[15, 8, 22, 25, 4, 4]",25
26,0,20120529025329Z, Strange you are talking about that when there were Chelsea fans in here belittling the Community Shield ,strang you are talk about that when there were chelsea fan in here belittl the communiti shield,['Strange you are talking about that when there were Chelsea fans in here belittling the Community Shield'],1,[17],17
27,0,20120612052926Z, But how would you actually get the key out ?  ,but how would you actual get the key out ?,['But how would you actually get the key out'],1,[9],9
28,0,20120528193950Z," oh cool ,  some more internet points for your collection !  ","oh cool , some more internet point for your collect !",['oh cool some more internet points for your collection'],1,[9],9
29,0,20120529230121Z," Even though I think there are better coaches out there ,  I am glad Del Negro is keeping his job .  I never thought he got enough credit those years when he took those average Chicago Bulls teams he coached to the playoffs 2 years in a row ","even though i think there are better coach out there , i am glad del negro is keep his job . i never thought he got enough credit those year when he took those averag chicago bull team he coach to the playoff 2 year in a row","['Even though I think there are better coaches out there I am glad Del Negro is keeping his job', 'I never thought he got enough credit those years when he took those average Chicago Bulls teams he coached to the playoffs 2 years in a row']",2,"[19, 27]",27
30,0,20120611201838Z," russellpiano Hmm..how can we spin Obama honoring Vietnam troops as something negative.Answer :  Doesn t matter !  Look at our followers .  They will take anything .  Obama team :  Hmm ,  how can we make the liberal Messiah look better in light of the revelations of his leaking classified information to the New York Times?I know ,  lets have a bogus photo shoot at the Viet Nam Memorial .  That will make Obama look like he cares about vets (but first we will have to clear all the vets out of the immediate area because they can not be trusted) .  ","russellpiano hmm..how can we spin obama honor vietnam troop as someth negative.answ : doesn t matter ! look at our follow . they will take anyth . obama team : hmm , how can we make the liber messiah look better in light of the revel of his leak classifi inform to the new york times?i know , let have a bogus photo shoot at the viet nam memori . that will make obama look like he care about vet (but first we will have to clear all the vet out of the immedi area becaus they can not be trusted) .","['russellpiano Hmm', 'how can we spin Obama honoring Vietnam troops as something negative', 'Answer', 'Doesn t matter', 'Look at our followers', 'They will take anything', 'Obama team', 'Hmm how can we make the liberal Messiah look better in light of the revelations of his leaking classified information to the New York Times', 'I know lets have a bogus photo shoot at the Viet Nam Memorial', 'That will make Obama look like he cares about vets', 'but first we will have to clear all the vets out of the immediate area because they can not be trusted']",11,"[2, 11, 1, 3, 4, 4, 2, 25, 13, 10, 21]",25
31,0,20120529115214Z," A good article ,  which ,  for all the good it will do ,  could have been delivered to a brick wall .  ","a good articl , which , for all the good it will do , could have been deliv to a brick wall .",['A good article which for all the good it will do could have been delivered to a brick wall'],1,[19],19
32,0,," Head is up warning..another source of funding for Media Matters is Peter Lewis of the Progessive Insurance Company .  You know ,  those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blow up doll with red lips and a perfectly round mouth..if you know what I mean .  IF you have Progressive auto insurance ,  just know that part of your premium is going to fund a progressive liberal organization hell bent on destroying our country and our free speech .  Their mission is to bring down Hannity,Beck,Dobbs,Lavin,Limbaugh,Boortz,etc .  We must not let them win .  ","head is up warning..anoth sourc of fund for media matter is peter lewi of the progess insur compani . you know , those auto insur commerci that run everi 5 minut on cabl televis featur the gal who look like a blow up doll with red lip and a perfect round mouth..if you know what i mean . if you have progress auto insur , just know that part of your premium is go to fund a progress liber organ hell bent on destroy our countri and our free speech . their mission is to bring down hannity,beck,dobbs,lavin,limbaugh,boortz,etc . we must not let them win .","['Head is up warning', 'another source of funding for Media Matters is Peter Lewis of the Progessive Insurance Company', 'You know those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blow up doll with red lips and a perfectly round mouth', 'if you know what I mean', 'IF you have Progressive auto insurance just know that part of your premium is going to fund a progressive liberal organization hell bent on destroying our country and our free speech', 'Their mission is to bring down Hannity Beck Dobbs Lavin Limbaugh Boortz etc', 'We must not let them win']",7,"[4, 15, 32, 6, 31, 13, 6]",32
33,0,20120620055647Z, _hashtag_ LOL as if Capcom listens .  Watch them fuck this up too .  I hope I am wrong .  I love Okami .  ,_hashtag_ lol as if capcom listen . watch them fuck this up too . i hope i am wrong . i love okami .,"['_hashtag_ LOL as if Capcom listens', 'Watch them fuck this up too', 'I hope I am wrong', 'I love Okami']",4,"[6, 6, 5, 3]",6
34,1,20120515132156Z," Allinit123 ,  your hypocrisy is sickening ,  you ignorant loser .  ","allinit123 , your hypocrisi is sicken , you ignor loser .",['Allinit123 your hypocrisy is sickening you ignorant loser'],1,[8],8
35,0,20120620011710Z, Fast & furious didn t work out like they planned did it?..lololololololol ,fast & furious didn t work out like they plan did it?..lololololololol,"['Fast & furious didn t work out like they planned did it', 'lololololololol']",2,"[12, 1]",12
36,0,20120530111709Z," mitt is not the best candidate for president..but ,  going against the worst candidate ever should help him tremendously .  LOL obama is one and done..it could happen no other way .  ","mitt is not the best candid for president..but , go against the worst candid ever should help him tremend . lol obama is one and done..it could happen no other way .","['mitt is not the best candidate for president', 'but going against the worst candidate ever should help him tremendously', 'LOL obama is one and done', 'it could happen no other way']",4,"[8, 11, 6, 6]",11
37,1,20120620161958Z, I can not believe the stupid people on this site that have no idea what is going on .  You fools .  you are all useful idiots .  They are hiding the truth because you fools who protect him would look like the useful idiots you are .  ,i can not believ the stupid peopl on this site that have no idea what is go on . you fool . you are all use idiot . they are hide the truth becaus you fool who protect him would look like the use idiot you are .,"['I can not believe the stupid people on this site that have no idea what is going on', 'You fools', 'you are all useful idiots', 'They are hiding the truth because you fools who protect him would look like the useful idiots you are']",4,"[18, 2, 5, 19]",19
38,1,20120609163743Z, fucking behave then you prick !  ,fuck behav then you prick !,['fucking behave then you prick'],1,[5],5
39,0,20120619094846Z, The only other relevant fact is that HE IS DESTROYING AMERICA !  ,the onli other relev fact is that he is destroy america !,['The only other relevant fact is that HE IS DESTROYING AMERICA'],1,[11],11
40,0,20120609175446Z, you are a liar .  ,you are a liar .,['you are a liar'],1,[4],4
41,1,20120620075045Z," Is that it ??  your sum total to any conversation is first abuse and then calling them a troll ..  you are a typical socialist idiot .  Keep up your non existent class warfare ,  it is as pointless as you .  ","is that it ?? your sum total to ani convers is first abus and then call them a troll .. you are a typic socialist idiot . keep up your non exist class warfar , it is as pointless as you .","['Is that it', 'your sum total to any conversation is first abuse and then calling them a troll', 'you are a typical socialist idiot', 'Keep up your non existent class warfare it is as pointless as you']",4,"[3, 15, 6, 13]",15
42,0,20120619231647Z, _hashtag_ _hashtag_ Welp then NBW right ?  ,_hashtag_ _hashtag_ welp then nbw right ?,['_hashtag_ _hashtag_ Welp then NBW right'],1,[6],6
43,0,20120620024445Z," Good job ,  fellas .  I didn t quite read the rules about a signature piece ,  but I guess that was as good as any .  I found some great blogs to follow ,  and to share over at G+ .  If I am not commenting on your blogs ,  it is because I always throw my two cents in when I post my share .  Add me on there if you are a Googler .  _url_ Again ,  congratulations to the winners ,  and I hope we get the chance to submit something else .  This was fucking fun .  ","good job , fella . i didn t quit read the rule about a signatur piec , but i guess that was as good as ani . i found some great blog to follow , and to share over at g+ . if i am not comment on your blog , it is becaus i alway throw my two cent in when i post my share . add me on there if you are a googler . _url_ again , congratul to the winner , and i hope we get the chanc to submit someth els . this was fuck fun .","['Good job fellas', 'I didn t quite read the rules about a signature piece but I guess that was as good as any', 'I found some great blogs to follow and to share over at G', 'If I am not commenting on your blogs it is because I always throw my two cents in when I post my share', 'Add me on there if you are a Googler', '_url_ Again congratulations to the winners and I hope we get the chance to submit something else', 'This was fucking fun']",7,"[3, 20, 13, 23, 9, 17, 4]",23
44,0,," I say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment ..  The lady had a kid 1 week ago .  Women is not safe to have sex after child birth for AT LEAST 6 weeks .  So even if this WAS consensual ,  it would have been wayy too soon and hurt the lady .  I am so glad the the baby is so young and will not remember this event happening in it is house and I hope the mother recovers quickly .  ","i say hang is ass in the center of the town to let it be known that this type of behavior get this type of punish .. the ladi had a kid 1 week ago . women is not safe to have sex after child birth for at least 6 week . so even if this was consensu , it would have been wayi too soon and hurt the ladi . i am so glad the the babi is so young and will not rememb this event happen in it is hous and i hope the mother recov quick .","['I say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment', 'The lady had a kid 1 week ago', 'Women is not safe to have sex after child birth for AT LEAST 6 weeks', 'So even if this WAS consensual it would have been wayy too soon and hurt the lady', 'I am so glad the the baby is so young and will not remember this event happening in it is house and I hope the mother recovers quickly']",5,"[26, 8, 15, 17, 28]",28
45,1,20120619074710Z, faggot ,faggot,['faggot'],1,[1],1
46,0,20120529201852Z, You right if you are relaxe then you can give better result or perform and your identity should be from your work .  ,you right if you are relax then you can give better result or perform and your ident should be from your work .,['You right if you are relaxe then you can give better result or perform and your identity should be from your work'],1,[22],22
47,1,20120529130844Z, Aimless Abe you are a delusion weirdo that should be locked up inside and kept away from computers .  Anyone who doubts the lunacy of Abe the moronic prog frog from NYC please read this thread and you will see Abe completely come apart from the seams and go off the deep end .  ,aimless abe you are a delus weirdo that should be lock up insid and kept away from comput . anyon who doubt the lunaci of abe the moron prog frog from nyc pleas read this thread and you will see abe complet come apart from the seam and go off the deep end .,"['Aimless Abe you are a delusion weirdo that should be locked up inside and kept away from computers', 'Anyone who doubts the lunacy of Abe the moronic prog frog from NYC please read this thread and you will see Abe completely come apart from the seams and go off the deep end']",2,"[18, 34]",34
48,0,20120610150536Z," That ,  I do not doubt ..  ..as a Blackberry clone .  But ,  your original argument was not that Android would have existed ,  just that Android somehow predates iOS development .  ","that , i do not doubt .. ..as a blackberri clone . but , your origin argument was not that android would have exist , just that android somehow predat io develop .","['That I do not doubt', 'as a Blackberry clone', 'But your original argument was not that Android would have existed just that Android somehow predates iOS development']",3,"[5, 4, 18]",18
49,0,20120530023429Z," OKC should work out a deal to get a PG who plays more like Parker or CP3 .  I think Nash at the point ,  and move Westbrook to SG that team would be unstoppable .  Imagine the shots Nash would create for Durant .  Then Westbrook would be at his natural position too ,  the guy doesn t create shots or distribute .  ","okc should work out a deal to get a pg who play more like parker or cp3 . i think nash at the point , and move westbrook to sg that team would be unstopp . imagin the shot nash would creat for durant . then westbrook would be at his natur posit too , the guy doesn t creat shot or distribut .","['OKC should work out a deal to get a PG who plays more like Parker or CP3', 'I think Nash at the point and move Westbrook to SG that team would be unstoppable', 'Imagine the shots Nash would create for Durant', 'Then Westbrook would be at his natural position too the guy doesn t create shots or distribute']",4,"[17, 16, 8, 17]",17
50,0,20120619183841Z, Maher is show goes on and on ..  Palin is Alakda show gets canceled .  Isn t the free market wonderful ?  ,maher is show goe on and on .. palin is alakda show get cancel . isn t the free market wonder ?,"['Maher is show goes on and on', 'Palin is Alakda show gets canceled', 'Isn t the free market wonderful']",3,"[7, 6, 6]",7
51,1,20120320131007Z, Even as a troll you are a pathetic failure .  ,even as a troll you are a pathet failur .,['Even as a troll you are a pathetic failure'],1,[9],9
52,0,20120529231612Z, Grazie mille Sabrina !  Sei cos dolce .  Baci .  ,grazi mill sabrina ! sei cos dolc . baci .,"['Grazie mille Sabrina', 'Sei cos dolce', 'Baci']",3,"[3, 3, 1]",3
53,0,20120530064120Z," yeah well ,  it would still be better than letting them sit there for 20 30 years on my dime before sticking a needle in their veins .  I say give them ALL a noose .  If they choose to kill themselves ,  so be it .  ","yeah well , it would still be better than let them sit there for 20 30 year on my dime befor stick a needl in their vein . i say give them all a noos . if they choos to kill themselv , so be it .","['yeah well it would still be better than letting them sit there for 20 30 years on my dime before sticking a needle in their veins', 'I say give them ALL a noose', 'If they choose to kill themselves so be it']",3,"[26, 7, 9]",26
54,0,20120612003945Z, um holy fuck i need a cigarette ,um holi fuck i need a cigarett,['um holy fuck i need a cigarette'],1,[7],7
55,1,20120502173058Z," you are a moron ,  truth is beyond your reach ","you are a moron , truth is beyond your reach",['you are a moron truth is beyond your reach'],1,[9],9
56,0,20120529022638Z, You seem wistful .  ,you seem wist .,['You seem wistful'],1,[3],3
57,0,20120529141937Z," Damn ,  speedy recovery ,  Paul..raining prayers down on you !  ","damn , speedi recoveri , paul..rain prayer down on you !","['Damn speedy recovery Paul', 'raining prayers down on you']",2,"[4, 5]",5
58,0,20120528151453Z, The laughs you two heard were triggered by memories of his own high flying exits off moving beasts ,the laugh you two heard were trigger by memori of his own high fli exit off move beast,['The laughs you two heard were triggered by memories of his own high flying exits off moving beasts'],1,[18],18
59,1,20120619203151Z, Your anti Semitic rants are not welcomed here .  you are a racist moron .  FU !  ,your anti semit rant are not welcom here . you are a racist moron . fu !,"['Your anti Semitic rants are not welcomed here', 'you are a racist moron', 'FU']",3,"[8, 5, 1]",8
60,0,20120620175146Z, _hashtag_ Was FredEx on this team ?  ,_hashtag_ was fredex on this team ?,['_hashtag_ Was FredEx on this team'],1,[6],6
61,1,20120619033424Z," god ,  you are tiresome .  get a life ,  you loser .  ","god , you are tiresom . get a life , you loser .","['god you are tiresome', 'get a life you loser']",2,"[4, 5]",5
62,0,20120612141919Z," stop pretending you not bradley is side .  you are the BS..are you blind do not give us that stupid long explainations of yours ,  you sounds like that 2 idiot judges exactly carbon copy !!..arum we need our moneyy bacckk ! !  ","stop pretend you not bradley is side . you are the bs..are you blind do not give us that stupid long explain of your , you sound like that 2 idiot judg exact carbon copi !!..arum we need our moneyi bacckk ! !","['stop pretending you not bradley is side', 'you are the BS', 'are you blind do not give us that stupid long explainations of yours you sounds like that 2 idiot judges exactly carbon copy', 'arum we need our moneyy bacckk']",4,"[7, 4, 23, 6]",23
63,0,20120610012708Z, fucking weird game man ,fuck weird game man,['fucking weird game man'],1,[4],4
64,0,20120620031132Z, I told you I would give it if you did .  You started acting likje a tough guy behind your moms computer then I asked you 20 times for an address and you still will not give it .  ,i told you i would give it if you did . you start act likj a tough guy behind your mom comput then i ask you 20 time for an address and you still will not give it .,"['I told you I would give it if you did', 'You started acting likje a tough guy behind your moms computer then I asked you 20 times for an address and you still will not give it']",2,"[10, 27]",27
65,0,20120619055834Z, I do not know if Lewis is a little boy or little girl .  Either way it becomes the third on my list of petulant idiots .  You will understand when you grow up .  Ask an old bastard member of your family to explain .  Such actions cannot be tolerated .  How come you blame the line judge ?  Weird .  ,i do not know if lewi is a littl boy or littl girl . either way it becom the third on my list of petul idiot . you will understand when you grow up . ask an old bastard member of your famili to explain . such action cannot be toler . how come you blame the line judg ? weird .,"['I do not know if Lewis is a little boy or little girl', 'Either way it becomes the third on my list of petulant idiots', 'You will understand when you grow up', 'Ask an old bastard member of your family to explain', 'Such actions cannot be tolerated', 'How come you blame the line judge', 'Weird']",7,"[13, 12, 7, 10, 5, 7, 1]",13
66,0,20120620015832Z, thats a pathetic flop fuck you jvg ,that a pathet flop fuck you jvg,['thats a pathetic flop fuck you jvg'],1,[7],7
67,0,20120611195156Z, Why should they bother improving ios if they sell more phones than they care to produce .  These advice are better served to the also runs ..  wp first and foremost ,whi should they bother improv io if they sell more phone than they care to produc . these advic are better serv to the also run .. wp first and foremost,"['Why should they bother improving ios if they sell more phones than they care to produce', 'These advice are better served to the also runs', 'wp first and foremost']",3,"[16, 9, 4]",16
68,0,," spursruss :  I live in Argentina and its not all Argentinians .  The problem being those who are loud on the issue are ill educated and you can be sure they wouldn t be rushing to fight anyone ,  they would be cowering in the background .  My wife is Argentinean and she is the first one to recognize the stupidity of the claims .  Some of muppet think they fought their Independence against the UK ,  morons the lot of them .  The answer is simple ,  if we were the leading colonial force ,  you would be an ENGLISH speaking country ,  you is not ,  because werent it was Spain ,  Portugal ,  France ,  our interests were commercial .  Also the worst part is they themselves exterminated the natives ,  the Spanish started it but actually it was the newly formed Argies which did most of the killing of the native ,  lovely eh ?  Clueless stuff ,  you wonder why the Government gets away with corruption ,  so many ignorant people thats why..you shouldnt judge ALL by the standard ,  these a huge amount of Argies who see the Cristina drum beating for what it is ,  the same as ALL presidents of Argentina do ,  using it to cover their failing .  ","spursruss : i live in argentina and it not all argentinian . the problem be those who are loud on the issu are ill educ and you can be sure they wouldn t be rush to fight anyon , they would be cower in the background . my wife is argentinean and she is the first one to recogn the stupid of the claim . some of muppet think they fought their independ against the uk , moron the lot of them . the answer is simpl , if we were the lead coloni forc , you would be an english speak countri , you is not , becaus werent it was spain , portug , franc , our interest were commerci . also the worst part is they themselv extermin the nativ , the spanish start it but actual it was the newli form argi which did most of the kill of the nativ , love eh ? clueless stuff , you wonder whi the govern get away with corrupt , so mani ignor peopl that why..you shouldnt judg all by the standard , these a huge amount of argi who see the cristina drum beat for what it is , the same as all presid of argentina do , use it to cover their fail .","['spursruss', 'I live in Argentina and its not all Argentinians', 'The problem being those who are loud on the issue are ill educated and you can be sure they wouldn t be rushing to fight anyone they would be cowering in the background', 'My wife is Argentinean and she is the first one to recognize the stupidity of the claims', 'Some of muppet think they fought their Independence against the UK morons the lot of them', 'The answer is simple if we were the leading colonial force you would be an ENGLISH speaking country you is not because werent it was Spain Portugal France our interests were commercial', 'Also the worst part is they themselves exterminated the natives the Spanish started it but actually it was the newly formed Argies which did most of the killing of the native lovely eh', 'Clueless stuff you wonder why the Government gets away with corruption so many ignorant people thats why', 'you shouldnt judge ALL by the standard these a huge amount of Argies who see the Cristina drum beating for what it is the same as ALL presidents of Argentina do using it to cover their failing']",9,"[1, 9, 33, 17, 16, 32, 33, 17, 37]",37
69,0,20120527153941Z, you better hope because the Marlins have a history of giving up their superstars ,you better hope becaus the marlin have a histori of give up their superstar,['you better hope because the Marlins have a history of giving up their superstars'],1,[14],14
70,0,," Well ,  you guys have gone and done it now .  You put the words China and Chinese up the required number of times for the dating Asians ad to come up .  Evidently ,  Ms .  Zhang ,  50Kg and 168cm [for a BMI of 17.8] from HuNan China wants to meet me .  She has her little mouth open like she is speaking .  What is that you ask ,  Zhang ?  Well ,  yes ,  as a matter of fact I am a physician .  Why are you clapping your hands together and jumping up and down ?  Stop that squealing ,  young lady and exprain yourself !  ","well , you guy have gone and done it now . you put the word china and chines up the requir number of time for the date asian ad to come up . evid , ms . zhang , 50kg and 168cm [for a bmi of 17.8] from hunan china want to meet me . she has her littl mouth open like she is speak . what is that you ask , zhang ? well , yes , as a matter of fact i am a physician . whi are you clap your hand togeth and jump up and down ? stop that squeal , young ladi and exprain yourself !","['Well you guys have gone and done it now', 'You put the words China and Chinese up the required number of times for the dating Asians ad to come up', 'Evidently Ms', 'Zhang 50Kg and 168cm for a BMI of 17', '8 from HuNan China wants to meet me', 'She has her little mouth open like she is speaking', 'What is that you ask Zhang', 'Well yes as a matter of fact I am a physician', 'Why are you clapping your hands together and jumping up and down', 'Stop that squealing young lady and exprain yourself']",10,"[9, 21, 2, 9, 8, 10, 6, 11, 12, 8]",21
71,0,20120620154731Z, you mean like your off topic Obama rant bellow ?  ,you mean like your off topic obama rant bellow ?,['you mean like your off topic Obama rant bellow'],1,[9],9
72,0,20120529035809Z, I hope they do it inconjunction with July 4 ..  ,i hope they do it inconjunct with juli 4 ..,['I hope they do it inconjunction with July 4'],1,[9],9
73,0,," Surely will be a crushing blow ,  when he doesn t get the next four years ,  would you consider leaving the country ??  ","sure will be a crush blow , when he doesn t get the next four year , would you consid leav the countri ??",['Surely will be a crushing blow when he doesn t get the next four years would you consider leaving the country'],1,[21],21
74,0,20120611225404Z," I haven t watched Fox News in years ,  true .  ","i haven t watch fox news in year , true .",['I haven t watched Fox News in years true'],1,[9],9
75,0,20120528200101Z, Are you in France ?  ,are you in franc ?,['Are you in France'],1,[4],4
76,0,20120620001100Z, I will take that temp..I really hate the heat ,i will take that temp..i realli hate the heat,"['I will take that temp', 'I really hate the heat']",2,"[5, 5]",5
77,0,20120620070034Z," Alexis Bledel can act .  Wait .  Can she ?  I have this blind spot when it comes to impossibly beautiful women .  Shit ,  maybe she can not act .  Fuck ,  what the hell do I do now ?  WHAT THE HELL DO I DO NOW !?  ","alexi bledel can act . wait . can she ? i have this blind spot when it come to imposs beauti women . shit , mayb she can not act . fuck , what the hell do i do now ? what the hell do i do now !?","['Alexis Bledel can act', 'Wait', 'Can she', 'I have this blind spot when it comes to impossibly beautiful women', 'Shit maybe she can not act', 'Fuck what the hell do I do now', 'WHAT THE HELL DO I DO NOW']",7,"[4, 1, 2, 12, 6, 8, 7]",12
